# wavelength(um) flux(mJy)
3.969491107463831714e-01 1.075715914292023258e-03
3.971212797164911934e-01 -2.695868864352011108e-04
3.972934486865992154e-01 1.061594683907272083e-03
3.974656176567072374e-01 1.831429226411246175e-03
3.976377866268152594e-01 1.826611342914722345e-03
3.978099555969233370e-01 1.210882374050039137e-03
3.979821245670313590e-01 2.701515698345024422e-03
3.981542935371393810e-01 2.719600954093943576e-03
3.983264625072474030e-01 3.809078332540010532e-04
3.984986314773554250e-01 7.111771914029810411e-04
3.986708004474634470e-01 7.043917566848761740e-04
3.988429694175715245e-01 7.458096259347543871e-04
3.990151383876795466e-01 1.019181275865982915e-03
3.991873073577875686e-01 1.671894662887960827e-03
3.993594763278955906e-01 1.518407270246754058e-03
3.995316452980036126e-01 1.173064458505351229e-03
3.997038142681116901e-01 8.666919561388652937e-04
3.998759832382197121e-01 5.808401629420457089e-04
4.000481522083277341e-01 1.939397208162906873e-03
4.002203211784357562e-01 2.071575379511800437e-03
4.003924901485437782e-01 1.234865378325254292e-03
4.005646591186518002e-01 7.818887328631027832e-04
4.007368280887598777e-01 1.078994303939698283e-03
4.009089970588678997e-01 1.439636531928874643e-03
4.010811660289759217e-01 1.375032583107510835e-03
4.012533349990839437e-01 1.569997047416281681e-03
4.014255039691919658e-01 9.509360126440157077e-04
4.015976729393000433e-01 1.568872483387816555e-03
4.017698419094080653e-01 8.359238361663050591e-04
4.019420108795160873e-01 7.224732448975618171e-04
4.021141798496241093e-01 9.697374708160815720e-04
4.022863488197321313e-01 1.414737457551450183e-03
4.024585177898401533e-01 1.132565708368457949e-03
4.026306867599482309e-01 8.713573447484014426e-05
4.028028557300562529e-01 1.098877347114878781e-03
4.029750247001642749e-01 1.769718187773132532e-03
4.031471936702722969e-01 1.324562161256788136e-03
4.033193626403803189e-01 5.443671009141175850e-04
4.034915316104883964e-01 4.496267017511278098e-04
4.036637005805964185e-01 1.030355975872203735e-03
4.038358695507044405e-01 1.369750941511439432e-03
4.040080385208124625e-01 2.928364162070930818e-04
4.041802074909204845e-01 5.408191742181651766e-04
4.043523764610285620e-01 1.408532466192904476e-03
4.045245454311365840e-01 1.033637493971059163e-03
4.046967144012446060e-01 1.344798938816456997e-03
4.048688833713526281e-01 8.269781971330905819e-04
4.050410523414606501e-01 7.465365882948950130e-04
4.052132213115686721e-01 6.696317041473761082e-04
4.053853902816767496e-01 4.366924716279540564e-04
4.055575592517847716e-01 6.058905423467928972e-04
4.057297282218927936e-01 1.803355736856947613e-03
4.059018971920008156e-01 3.033389693016821063e-03
4.060740661621088377e-01 1.796297993057287962e-03
4.062462351322169152e-01 7.321546306655589984e-04
4.064184041023249372e-01 -3.555133381871691421e-04
4.065905730724329592e-01 -1.195450271129626266e-04
4.067627420425409812e-01 1.132340695429306715e-03
4.069349110126490032e-01 9.140238738342489110e-04
4.071070799827570252e-01 1.380086149236817118e-03
4.072792489528651028e-01 2.048284123660729702e-03
4.074514179229731248e-01 1.155632513405585593e-03
4.076235868930811468e-01 1.589356021269408645e-03
4.077957558631891688e-01 7.802648646695752206e-04
4.079679248332971908e-01 9.090551737379855626e-04
4.081400938034052683e-01 1.421975915694824672e-03
